origen,destino,distancia_km,factor_trafico,peso,tipo_ruta
V27_2,V27_1,0.076,1.0,0.076,conexion-vial-cercana
V27_2,V40_1,0.079,1.0,0.079,conexion-vial-cercana
V28_0,V35_0,0.08,1.0,0.08,conexion-vial-cercana
V28_0,V28_1,0.124,1.0,0.124,conexion-vial-cercana
V28_0,V39_1,0.199,1.0,0.199,conexion-vial-cercana
V28_0,V34_0,0.364,1.0,0.364,conexion-vial-cercana
V28_0,V34_1,0.372,1.0,0.372,conexion-vial-cercana
V28_0,V34_2,0.456,1.0,0.456,conexion-vial-cercana
V28_0,V32_1,0.468,1.0,0.468,conexion-vial-cercana
V28_0,V32_0,0.476,1.0,0.476,conexion-vial-cercana
V28_1,V39_1,0.082,1.0,0.082,conexion-vial-cercana
V28_1,V28_0,0.124,1.0,0.124,conexion-vial-cercana
V28_1,V35_0,0.198,1.0,0.198,conexion-vial-cercana
V28_1,V34_0,0.241,1.0,0.241,conexion-vial-cercana
V28_1,V34_1,0.248,1.0,0.248,conexion-vial-cercana
V28_1,V34_2,0.336,1.0,0.336,conexion-vial-cercana
V28_1,V32_0,0.364,1.0,0.364,conexion-vial-cercana
V28_1,V32_1,0.364,1.0,0.364,conexion-vial-cercana
V28_2,V31_2,0.037,1.0,0.037,conexion-vial-cercana
V28_2,V33_0,0.037,1.0,0.037,conexion-vial-cercana
V28_2,V33_1,0.037,1.0,0.037,conexion-vial-cercana
V28_2,V39_2,0.173,1.0,0.173,conexion-vial-cercana
V28_2,V33_2,0.212,1.0,0.212,conexion-vial-cercana
V28_2,V31_1,0.229,1.0,0.229,conexion-vial-cercana
V28_2,V31_0,0.334,1.0,0.334,conexion-vial-cercana
V28_2,V34_2,0.372,1.0,0.372,conexion-vial-cercana
V29_0,V29_1,0.0,1.0,0.0,conexion-vial-cercana
V29_0,V36_0,0.029,1.0,0.029,conexion-vial-cercana
V29_0,V37_2,0.029,1.0,0.029,conexion-vial-cercana
V29_0,V37_1,0.041,1.0,0.041,conexion-vial-cercana
V29_0,V29_2,0.068,1.0,0.068,conexion-vial-cercana
V29_0,V37_0,0.077,1.0,0.077,conexion-vial-cercana
V29_0,V35_2,0.109,1.0,0.109,conexion-vial-cercana
V29_0,V36_1,0.246,1.0,0.246,conexion-vial-cercana
V29_1,V29_0,0.0,1.0,0.0,conexion-vial-cercana
V29_1,V36_0,0.029,1.0,0.029,conexion-vial-cercana
V29_1,V37_2,0.029,1.0,0.029,conexion-vial-cercana
V29_1,V37_1,0.041,1.0,0.041,conexion-vial-cercana
V29_1,V29_2,0.068,1.0,0.068,conexion-vial-cercana
V29_1,V37_0,0.077,1.0,0.077,conexion-vial-cercana
V29_1,V35_2,0.109,1.0,0.109,conexion-vial-cercana
V29_1,V36_1,0.246,1.0,0.246,conexion-vial-cercana
V29_2,V37_0,0.022,1.0,0.022,conexion-vial-cercana
V29_2,V37_1,0.042,1.0,0.042,conexion-vial-cercana
V29_2,V35_2,0.055,1.0,0.055,conexion-vial-cercana
V29_2,V29_0,0.068,1.0,0.068,conexion-vial-cercana
V29_2,V29_1,0.068,1.0,0.068,conexion-vial-cercana
V29_2,V36_0,0.072,1.0,0.072,conexion-vial-cercana
V29_2,V37_2,0.072,1.0,0.072,conexion-vial-cercana
V29_2,V35_1,0.228,1.0,0.228,conexion-vial-cercana
V30_0,V30_1,0.037,1.0,0.037,conexion-vial-cercana
V30_0,V30_2,0.087,1.0,0.087,conexion-vial-cercana
V30_0,V31_0,0.348,1.0,0.348,conexion-vial-cercana
V30_0,V31_1,0.443,1.0,0.443,conexion-vial-cercana
V30_0,V5_0,0.639,1.0,0.639,conexion-vial-cercana
V30_0,V46_0,0.639,1.0,0.639,conexion-vial-cercana
V30_0,V48_0,0.655,1.0,0.655,conexion-vial-cercana
V30_0,V46_1,0.657,1.0,0.657,conexion-vial-cercana
V30_1,V30_0,0.037,1.0,0.037,conexion-vial-cercana
V30_1,V30_2,0.051,1.0,0.051,conexion-vial-cercana
V30_1,V31_0,0.315,1.0,0.315,conexion-vial-cercana
V30_1,V31_1,0.408,1.0,0.408,conexion-vial-cercana
V30_1,V28_2,0.634,1.0,0.634,conexion-vial-cercana
V30_1,V31_2,0.664,1.0,0.664,conexion-vial-cercana
V30_1,V33_0,0.664,1.0,0.664,conexion-vial-cercana
V30_1,V33_1,0.664,1.0,0.664,conexion-vial-cercana
V30_2,V30_1,0.051,1.0,0.051,conexion-vial-cercana
V30_2,V30_0,0.087,1.0,0.087,conexion-vial-cercana
V30_2,V31_0,0.264,1.0,0.264,conexion-vial-cercana
V30_2,V31_1,0.357,1.0,0.357,conexion-vial-cercana
V30_2,V28_2,0.582,1.0,0.582,conexion-vial-cercana
V30_2,V31_2,0.613,1.0,0.613,conexion-vial-cercana
V30_2,V33_0,0.613,1.0,0.613,conexion-vial-cercana
V30_2,V33_1,0.613,1.0,0.613,conexion-vial-cercana
V31_0,V31_1,0.106,1.0,0.106,conexion-vial-cercana
V31_0,V30_2,0.264,1.0,0.264,conexion-vial-cercana
V31_0,V30_1,0.315,1.0,0.315,conexion-vial-cercana
V31_0,V28_2,0.334,1.0,0.334,conexion-vial-cercana
V31_0,V30_0,0.348,1.0,0.348,conexion-vial-cercana
V31_0,V31_2,0.368,1.0,0.368,conexion-vial-cercana
V31_0,V33_0,0.368,1.0,0.368,conexion-vial-cercana
V31_0,V33_1,0.368,1.0,0.368,conexion-vial-cercana
V31_1,V31_0,0.106,1.0,0.106,conexion-vial-cercana
V31_1,V28_2,0.229,1.0,0.229,conexion-vial-cercana
V31_1,V31_2,0.263,1.0,0.263,conexion-vial-cercana
V31_1,V33_0,0.263,1.0,0.263,conexion-vial-cercana
V31_1,V33_1,0.263,1.0,0.263,conexion-vial-cercana
V31_1,V30_2,0.357,1.0,0.357,conexion-vial-cercana
V31_1,V39_2,0.402,1.0,0.402,conexion-vial-cercana
V31_1,V30_1,0.408,1.0,0.408,conexion-vial-cercana
V31_2,V33_0,0.0,1.0,0.0,conexion-vial-cercana
V31_2,V33_1,0.0,1.0,0.0,conexion-vial-cercana
V31_2,V28_2,0.037,1.0,0.037,conexion-vial-cercana
V31_2,V39_2,0.142,1.0,0.142,conexion-vial-cercana
V31_2,V33_2,0.176,1.0,0.176,conexion-vial-cercana
V31_2,V31_1,0.263,1.0,0.263,conexion-vial-cercana
V31_2,V34_2,0.346,1.0,0.346,conexion-vial-cercana
V31_2,V31_0,0.368,1.0,0.368,conexion-vial-cercana
V32_0,V32_1,0.058,1.0,0.058,conexion-vial-cercana
V32_0,V34_2,0.085,1.0,0.085,conexion-vial-cercana
V32_0,V32_2,0.107,1.0,0.107,conexion-vial-cercana
V32_0,V45_0,0.156,1.0,0.156,conexion-vial-cercana
V32_0,V45_2,0.167,1.0,0.167,conexion-vial-cercana
V32_0,V34_1,0.183,1.0,0.183,conexion-vial-cercana
V32_0,V45_1,0.186,1.0,0.186,conexion-vial-cercana
V32_0,V34_0,0.227,1.0,0.227,conexion-vial-cercana
V32_1,V32_2,0.052,1.0,0.052,conexion-vial-cercana
V32_1,V32_0,0.058,1.0,0.058,conexion-vial-cercana
V32_1,V45_0,0.099,1.0,0.099,conexion-vial-cercana
V32_1,V45_2,0.13,1.0,0.13,conexion-vial-cercana
V32_1,V45_1,0.135,1.0,0.135,conexion-vial-cercana
V32_1,V34_2,0.138,1.0,0.138,conexion-vial-cercana
V32_1,V34_1,0.221,1.0,0.221,conexion-vial-cercana
V32_1,V34_0,0.265,1.0,0.265,conexion-vial-cercana
V32_2,V45_0,0.048,1.0,0.048,conexion-vial-cercana
V32_2,V32_1,0.052,1.0,0.052,conexion-vial-cercana
V32_2,V45_1,0.084,1.0,0.084,conexion-vial-cercana
V32_2,V45_2,0.092,1.0,0.092,conexion-vial-cercana
V32_2,V32_0,0.107,1.0,0.107,conexion-vial-cercana
V32_2,V34_2,0.19,1.0,0.19,conexion-vial-cercana
V32_2,V34_1,0.271,1.0,0.271,conexion-vial-cercana
V32_2,V39_1,0.315,1.0,0.315,conexion-vial-cercana
V33_0,V31_2,0.0,1.0,0.0,conexion-vial-cercana
V33_0,V33_1,0.0,1.0,0.0,conexion-vial-cercana
V33_0,V28_2,0.037,1.0,0.037,conexion-vial-cercana
V33_0,V39_2,0.142,1.0,0.142,conexion-vial-cercana
V33_0,V33_2,0.176,1.0,0.176,conexion-vial-cercana
V33_0,V31_1,0.263,1.0,0.263,conexion-vial-cercana
V33_0,V34_2,0.346,1.0,0.346,conexion-vial-cercana
V33_0,V31_0,0.368,1.0,0.368,conexion-vial-cercana
V33_1,V31_2,0.0,1.0,0.0,conexion-vial-cercana
V33_1,V33_0,0.0,1.0,0.0,conexion-vial-cercana
V33_1,V28_2,0.037,1.0,0.037,conexion-vial-cercana
V33_1,V39_2,0.142,1.0,0.142,conexion-vial-cercana
V33_1,V33_2,0.176,1.0,0.176,conexion-vial-cercana
V33_1,V31_1,0.263,1.0,0.263,conexion-vial-cercana
V33_1,V34_2,0.346,1.0,0.346,conexion-vial-cercana
V33_1,V31_0,0.368,1.0,0.368,conexion-vial-cercana
V33_2,V39_2,0.069,1.0,0.069,conexion-vial-cercana
V33_2,V31_2,0.176,1.0,0.176,conexion-vial-cercana
V33_2,V33_0,0.176,1.0,0.176,conexion-vial-cercana
V33_2,V33_1,0.176,1.0,0.176,conexion-vial-cercana
V33_2,V28_2,0.212,1.0,0.212,conexion-vial-cercana
V33_2,V34_2,0.216,1.0,0.216,conexion-vial-cercana
V33_2,V34_1,0.234,1.0,0.234,conexion-vial-cercana
V33_2,V34_0,0.234,1.0,0.234,conexion-vial-cercana
V34_0,V34_1,0.044,1.0,0.044,conexion-vial-cercana
V34_0,V34_2,0.153,1.0,0.153,conexion-vial-cercana
V34_0,V39_1,0.184,1.0,0.184,conexion-vial-cercana
V34_0,V32_0,0.227,1.0,0.227,conexion-vial-cercana
V34_0,V33_2,0.234,1.0,0.234,conexion-vial-cercana
V34_0,V28_1,0.241,1.0,0.241,conexion-vial-cercana
V34_0,V32_1,0.265,1.0,0.265,conexion-vial-cercana
V34_0,V39_2,0.269,1.0,0.269,conexion-vial-cercana
V34_1,V34_0,0.044,1.0,0.044,conexion-vial-cercana
V34_1,V34_2,0.113,1.0,0.113,conexion-vial-cercana
V34_1,V39_1,0.18,1.0,0.18,conexion-vial-cercana
V34_1,V32_0,0.183,1.0,0.183,conexion-vial-cercana
V34_1,V32_1,0.221,1.0,0.221,conexion-vial-cercana
V34_1,V33_2,0.234,1.0,0.234,conexion-vial-cercana
V34_1,V28_1,0.248,1.0,0.248,conexion-vial-cercana
V34_1,V39_2,0.258,1.0,0.258,conexion-vial-cercana
V34_2,V32_0,0.085,1.0,0.085,conexion-vial-cercana
V34_2,V34_1,0.113,1.0,0.113,conexion-vial-cercana
V34_2,V32_1,0.138,1.0,0.138,conexion-vial-cercana
V34_2,V34_0,0.153,1.0,0.153,conexion-vial-cercana
V34_2,V32_2,0.19,1.0,0.19,conexion-vial-cercana
V34_2,V39_2,0.208,1.0,0.208,conexion-vial-cercana
V34_2,V33_2,0.216,1.0,0.216,conexion-vial-cercana
V34_2,V45_0,0.237,1.0,0.237,conexion-vial-cercana
V35_0,V28_0,0.08,1.0,0.08,conexion-vial-cercana
V35_0,V28_1,0.198,1.0,0.198,conexion-vial-cercana
V35_0,V39_1,0.277,1.0,0.277,conexion-vial-cercana
V35_0,V34_0,0.432,1.0,0.432,conexion-vial-cercana
V35_0,V34_1,0.444,1.0,0.444,conexion-vial-cercana
V35_0,V39_0,0.507,1.0,0.507,conexion-vial-cercana
V35_0,V34_2,0.533,1.0,0.533,conexion-vial-cercana
V35_0,V32_1,0.548,1.0,0.548,conexion-vial-cercana
V35_1,V39_0,0.068,1.0,0.068,conexion-vial-cercana
V35_1,V35_2,0.195,1.0,0.195,conexion-vial-cercana
V35_1,V37_0,0.22,1.0,0.22,conexion-vial-cercana
V35_1,V29_2,0.228,1.0,0.228,conexion-vial-cercana
V35_1,V37_1,0.26,1.0,0.26,conexion-vial-cercana
V35_1,V36_0,0.291,1.0,0.291,conexion-vial-cercana
V35_1,V37_2,0.291,1.0,0.291,conexion-vial-cercana
V35_1,V29_0,0.296,1.0,0.296,conexion-vial-cercana
V35_2,V37_0,0.035,1.0,0.035,conexion-vial-cercana
V35_2,V29_2,0.055,1.0,0.055,conexion-vial-cercana
V35_2,V37_1,0.069,1.0,0.069,conexion-vial-cercana
V35_2,V36_0,0.098,1.0,0.098,conexion-vial-cercana
V35_2,V37_2,0.098,1.0,0.098,conexion-vial-cercana
V35_2,V29_0,0.109,1.0,0.109,conexion-vial-cercana
V35_2,V29_1,0.109,1.0,0.109,conexion-vial-cercana
V35_2,V35_1,0.195,1.0,0.195,conexion-vial-cercana
V36_0,V37_2,0.0,1.0,0.0,conexion-vial-cercana
V36_0,V29_0,0.029,1.0,0.029,conexion-vial-cercana
V36_0,V29_1,0.029,1.0,0.029,conexion-vial-cercana
V36_0,V37_1,0.031,1.0,0.031,conexion-vial-cercana
V36_0,V37_0,0.071,1.0,0.071,conexion-vial-cercana
V36_0,V29_2,0.072,1.0,0.072,conexion-vial-cercana
V36_0,V35_2,0.098,1.0,0.098,conexion-vial-cercana
V36_0,V36_1,0.241,1.0,0.241,conexion-vial-cercana
V36_1,V36_0,0.241,1.0,0.241,conexion-vial-cercana
V36_1,V37_2,0.241,1.0,0.241,conexion-vial-cercana
V36_1,V29_0,0.246,1.0,0.246,conexion-vial-cercana
V36_1,V29_1,0.246,1.0,0.246,conexion-vial-cercana
V36_1,V37_1,0.272,1.0,0.272,conexion-vial-cercana
V36_1,V29_2,0.311,1.0,0.311,conexion-vial-cercana
V36_1,V37_0,0.312,1.0,0.312,conexion-vial-cercana
V36_1,V41_2,0.333,1.0,0.333,conexion-vial-cercana
V36_2,V41_2,0.088,1.0,0.088,conexion-vial-cercana
V36_2,V41_1,0.288,1.0,0.288,conexion-vial-cercana
V36_2,V40_2,0.296,1.0,0.296,conexion-vial-cercana
V36_2,V44_0,0.35,1.0,0.35,conexion-vial-cercana
V36_2,V44_2,0.375,1.0,0.375,conexion-vial-cercana
V36_2,V41_0,0.384,1.0,0.384,conexion-vial-cercana
V36_2,V42_2,0.384,1.0,0.384,conexion-vial-cercana
V36_2,V42_1,0.413,1.0,0.413,conexion-vial-cercana
V37_0,V29_2,0.022,1.0,0.022,conexion-vial-cercana
V37_0,V35_2,0.035,1.0,0.035,conexion-vial-cercana
V37_0,V37_1,0.04,1.0,0.04,conexion-vial-cercana
V37_0,V36_0,0.071,1.0,0.071,conexion-vial-cercana
V37_0,V37_2,0.071,1.0,0.071,conexion-vial-cercana
V37_0,V29_0,0.077,1.0,0.077,conexion-vial-cercana
V37_0,V29_1,0.077,1.0,0.077,conexion-vial-cercana
V37_0,V35_1,0.22,1.0,0.22,conexion-vial-cercana
V37_1,V36_0,0.031,1.0,0.031,conexion-vial-cercana
V37_1,V37_2,0.031,1.0,0.031,conexion-vial-cercana
V37_1,V37_0,0.04,1.0,0.04,conexion-vial-cercana
V37_1,V29_0,0.041,1.0,0.041,conexion-vial-cercana
V37_1,V29_1,0.041,1.0,0.041,conexion-vial-cercana
V37_1,V29_2,0.042,1.0,0.042,conexion-vial-cercana
V37_1,V35_2,0.069,1.0,0.069,conexion-vial-cercana
V37_1,V35_1,0.26,1.0,0.26,conexion-vial-cercana
V37_2,V36_0,0.0,1.0,0.0,conexion-vial-cercana
V37_2,V29_0,0.029,1.0,0.029,conexion-vial-cercana
V37_2,V29_1,0.029,1.0,0.029,conexion-vial-cercana
V37_2,V37_1,0.031,1.0,0.031,conexion-vial-cercana
V37_2,V37_0,0.071,1.0,0.071,conexion-vial-cercana
V37_2,V29_2,0.072,1.0,0.072,conexion-vial-cercana
V37_2,V35_2,0.098,1.0,0.098,conexion-vial-cercana
V37_2,V36_1,0.241,1.0,0.241,conexion-vial-cercana
V38_0,V38_1,0.0,1.0,0.0,conexion-vial-cercana
V38_0,V27_0,0.017,1.0,0.017,conexion-vial-cercana
V38_0,V27_1,0.017,1.0,0.017,conexion-vial-cercana
V38_0,V38_2,0.072,1.0,0.072,conexion-vial-cercana
V38_0,V26_0,0.074,1.0,0.074,conexion-vial-cercana
V38_0,V27_2,0.074,1.0,0.074,conexion-vial-cercana
V38_0,V40_1,0.116,1.0,0.116,conexion-vial-cercana
V38_0,V26_1,0.126,1.0,0.126,conexion-vial-cercana
V38_1,V38_0,0.0,1.0,0.0,conexion-vial-cercana
V38_1,V27_0,0.017,1.0,0.017,conexion-vial-cercana
V38_1,V27_1,0.017,1.0,0.017,conexion-vial-cercana
V38_1,V38_2,0.072,1.0,0.072,conexion-vial-cercana
V38_1,V26_0,0.074,1.0,0.074,conexion-vial-cercana
V38_1,V27_2,0.074,1.0,0.074,conexion-vial-cercana
V38_1,V40_1,0.116,1.0,0.116,conexion-vial-cercana
V38_1,V26_1,0.126,1.0,0.126,conexion-vial-cercana
V38_2,V26_0,0.016,1.0,0.016,conexion-vial-cercana
V38_2,V27_2,0.016,1.0,0.016,conexion-vial-cercana
V38_2,V26_1,0.055,1.0,0.055,conexion-vial-cercana
V38_2,V40_1,0.064,1.0,0.064,conexion-vial-cercana
V38_2,V38_0,0.072,1.0,0.072,conexion-vial-cercana
V38_2,V38_1,0.072,1.0,0.072,conexion-vial-cercana
V38_2,V27_0,0.078,1.0,0.078,conexion-vial-cercana
V38_2,V27_1,0.078,1.0,0.078,conexion-vial-cercana
V39_0,V35_1,0.068,1.0,0.068,conexion-vial-cercana
V39_0,V35_2,0.246,1.0,0.246,conexion-vial-cercana
V39_0,V37_0,0.265,1.0,0.265,conexion-vial-cercana
V39_0,V29_2,0.268,1.0,0.268,conexion-vial-cercana
V39_0,V37_1,0.305,1.0,0.305,conexion-vial-cercana
V39_0,V29_0,0.336,1.0,0.336,conexion-vial-cercana
V39_0,V29_1,0.336,1.0,0.336,conexion-vial-cercana
V39_0,V36_0,0.336,1.0,0.336,conexion-vial-cercana
V39_1,V28_1,0.082,1.0,0.082,conexion-vial-cercana
V39_1,V34_1,0.18,1.0,0.18,conexion-vial-cercana
V39_1,V34_0,0.184,1.0,0.184,conexion-vial-cercana
V39_1,V28_0,0.199,1.0,0.199,conexion-vial-cercana
V39_1,V34_2,0.257,1.0,0.257,conexion-vial-cercana
V39_1,V35_0,0.277,1.0,0.277,conexion-vial-cercana
V39_1,V32_0,0.281,1.0,0.281,conexion-vial-cercana
V39_1,V32_1,0.283,1.0,0.283,conexion-vial-cercana
V39_2,V33_2,0.069,1.0,0.069,conexion-vial-cercana
V39_2,V31_2,0.142,1.0,0.142,conexion-vial-cercana
V39_2,V33_0,0.142,1.0,0.142,conexion-vial-cercana
V39_2,V33_1,0.142,1.0,0.142,conexion-vial-cercana
V39_2,V28_2,0.173,1.0,0.173,conexion-vial-cercana
V39_2,V34_2,0.208,1.0,0.208,conexion-vial-cercana
V39_2,V34_1,0.258,1.0,0.258,conexion-vial-cercana
V39_2,V32_0,0.262,1.0,0.262,conexion-vial-cercana
V40_0,V40_1,0.126,1.0,0.126,conexion-vial-cercana
V40_0,V38_2,0.187,1.0,0.187,conexion-vial-cercana
V40_0,V43_0,0.191,1.0,0.191,conexion-vial-cercana
V40_0,V26_1,0.201,1.0,0.201,conexion-vial-cercana
V40_0,V26_0,0.202,1.0,0.202,conexion-vial-cercana
V40_0,V27_2,0.202,1.0,0.202,conexion-vial-cercana
V40_0,V44_2,0.203,1.0,0.203,conexion-vial-cercana
V40_0,V26_2,0.205,1.0,0.205,conexion-vial-cercana
V40_1,V38_2,0.064,1.0,0.064,conexion-vial-cercana
V40_1,V26_1,0.077,1.0,0.077,conexion-vial-cercana
V40_1,V26_0,0.079,1.0,0.079,conexion-vial-cercana
V40_1,V27_2,0.079,1.0,0.079,conexion-vial-cercana
V40_1,V43_0,0.079,1.0,0.079,conexion-vial-cercana
V40_1,V26_2,0.09,1.0,0.09,conexion-vial-cercana
V40_1,V42_0,0.09,1.0,0.09,conexion-vial-cercana
V40_1,V42_1,0.106,1.0,0.106,conexion-vial-cercana
V40_2,V41_1,0.023,1.0,0.023,conexion-vial-cercana
V40_2,V44_2,0.079,1.0,0.079,conexion-vial-cercana
V40_2,V41_0,0.09,1.0,0.09,conexion-vial-cercana
V40_2,V42_2,0.09,1.0,0.09,conexion-vial-cercana
V40_2,V44_0,0.093,1.0,0.093,conexion-vial-cercana
V40_2,V42_1,0.117,1.0,0.117,conexion-vial-cercana
V40_2,V44_1,0.124,1.0,0.124,conexion-vial-cercana
V40_2,V43_1,0.127,1.0,0.127,conexion-vial-cercana
V41_0,V42_2,0.0,1.0,0.0,conexion-vial-cercana
V41_0,V44_2,0.018,1.0,0.018,conexion-vial-cercana
V41_0,V42_1,0.03,1.0,0.03,conexion-vial-cercana
V41_0,V44_1,0.037,1.0,0.037,conexion-vial-cercana
V41_0,V43_1,0.037,1.0,0.037,conexion-vial-cercana
V41_0,V43_0,0.053,1.0,0.053,conexion-vial-cercana
V41_0,V26_2,0.055,1.0,0.055,conexion-vial-cercana
V41_0,V42_0,0.055,1.0,0.055,conexion-vial-cercana
V41_1,V40_2,0.023,1.0,0.023,conexion-vial-cercana
V41_1,V44_0,0.08,1.0,0.08,conexion-vial-cercana
V41_1,V44_2,0.089,1.0,0.089,conexion-vial-cercana
V41_1,V41_0,0.096,1.0,0.096,conexion-vial-cercana
V41_1,V42_2,0.096,1.0,0.096,conexion-vial-cercana
V41_1,V42_1,0.125,1.0,0.125,conexion-vial-cercana
V41_1,V44_1,0.126,1.0,0.126,conexion-vial-cercana
V41_1,V43_1,0.132,1.0,0.132,conexion-vial-cercana
V41_2,V36_2,0.088,1.0,0.088,conexion-vial-cercana
V41_2,V36_1,0.333,1.0,0.333,conexion-vial-cercana
V41_2,V41_1,0.373,1.0,0.373,conexion-vial-cercana
V41_2,V40_2,0.379,1.0,0.379,conexion-vial-cercana
V41_2,V44_0,0.437,1.0,0.437,conexion-vial-cercana
V41_2,V44_2,0.458,1.0,0.458,conexion-vial-cercana
V41_2,V41_0,0.468,1.0,0.468,conexion-vial-cercana
V41_2,V42_2,0.468,1.0,0.468,conexion-vial-cercana
V42_0,V26_2,0.0,1.0,0.0,conexion-vial-cercana
V42_0,V43_0,0.016,1.0,0.016,conexion-vial-cercana
V42_0,V42_1,0.025,1.0,0.025,conexion-vial-cercana
V42_0,V43_1,0.027,1.0,0.027,conexion-vial-cercana
V42_0,V26_1,0.03,1.0,0.03,conexion-vial-cercana
V42_0,V43_2,0.043,1.0,0.043,conexion-vial-cercana
V42_0,V44_1,0.045,1.0,0.045,conexion-vial-cercana
V42_0,V41_0,0.055,1.0,0.055,conexion-vial-cercana
V42_1,V43_1,0.016,1.0,0.016,conexion-vial-cercana
V42_1,V26_2,0.025,1.0,0.025,conexion-vial-cercana
V42_1,V42_0,0.025,1.0,0.025,conexion-vial-cercana
V42_1,V43_0,0.027,1.0,0.027,conexion-vial-cercana
V42_1,V41_0,0.03,1.0,0.03,conexion-vial-cercana
V42_1,V42_2,0.03,1.0,0.03,conexion-vial-cercana
V42_1,V44_1,0.03,1.0,0.03,conexion-vial-cercana
V42_1,V44_2,0.039,1.0,0.039,conexion-vial-cercana
V42_2,V41_0,0.0,1.0,0.0,conexion-vial-cercana
V42_2,V44_2,0.018,1.0,0.018,conexion-vial-cercana
V42_2,V42_1,0.03,1.0,0.03,conexion-vial-cercana
V42_2,V44_1,0.037,1.0,0.037,conexion-vial-cercana
V42_2,V43_1,0.037,1.0,0.037,conexion-vial-cercana
V42_2,V43_0,0.053,1.0,0.053,conexion-vial-cercana
V42_2,V26_2,0.055,1.0,0.055,conexion-vial-cercana
V42_2,V42_0,0.055,1.0,0.055,conexion-vial-cercana
V43_0,V26_2,0.016,1.0,0.016,conexion-vial-cercana
V43_0,V42_0,0.016,1.0,0.016,conexion-vial-cercana
V43_0,V42_1,0.027,1.0,0.027,conexion-vial-cercana
V43_0,V26_1,0.036,1.0,0.036,conexion-vial-cercana
V43_0,V43_1,0.037,1.0,0.037,conexion-vial-cercana
V43_0,V41_0,0.053,1.0,0.053,conexion-vial-cercana
V43_0,V42_2,0.053,1.0,0.053,conexion-vial-cercana
V43_0,V44_1,0.054,1.0,0.054,conexion-vial-cercana
V43_1,V42_1,0.016,1.0,0.016,conexion-vial-cercana
V43_1,V44_1,0.018,1.0,0.018,conexion-vial-cercana
V43_1,V26_2,0.027,1.0,0.027,conexion-vial-cercana
V43_1,V42_0,0.027,1.0,0.027,conexion-vial-cercana
V43_1,V43_0,0.037,1.0,0.037,conexion-vial-cercana
V43_1,V41_0,0.037,1.0,0.037,conexion-vial-cercana
V43_1,V42_2,0.037,1.0,0.037,conexion-vial-cercana
V43_1,V43_2,0.038,1.0,0.038,conexion-vial-cercana
V43_2,V43_1,0.038,1.0,0.038,conexion-vial-cercana
V43_2,V44_1,0.041,1.0,0.041,conexion-vial-cercana
V43_2,V26_2,0.043,1.0,0.043,conexion-vial-cercana
V43_2,V42_0,0.043,1.0,0.043,conexion-vial-cercana
V43_2,V42_1,0.052,1.0,0.052,conexion-vial-cercana
V43_2,V26_1,0.052,1.0,0.052,conexion-vial-cercana
V43_2,V43_0,0.059,1.0,0.059,conexion-vial-cercana
V43_2,V41_0,0.074,1.0,0.074,conexion-vial-cercana
V44_0,V41_0,0.076,1.0,0.076,conexion-vial-cercana
V44_0,V42_2,0.076,1.0,0.076,conexion-vial-cercana
V44_0,V41_1,0.08,1.0,0.08,conexion-vial-cercana
V44_0,V44_1,0.081,1.0,0.081,conexion-vial-cercana
V44_0,V44_2,0.086,1.0,0.086,conexion-vial-cercana
V44_0,V40_2,0.093,1.0,0.093,conexion-vial-cercana
V44_0,V43_1,0.096,1.0,0.096,conexion-vial-cercana
V44_0,V42_1,0.099,1.0,0.099,conexion-vial-cercana
V44_1,V43_1,0.018,1.0,0.018,conexion-vial-cercana
V44_1,V42_1,0.03,1.0,0.03,conexion-vial-cercana
V44_1,V41_0,0.037,1.0,0.037,conexion-vial-cercana
V44_1,V42_2,0.037,1.0,0.037,conexion-vial-cercana
V44_1,V43_2,0.041,1.0,0.041,conexion-vial-cercana
V44_1,V26_2,0.045,1.0,0.045,conexion-vial-cercana
V44_1,V42_0,0.045,1.0,0.045,conexion-vial-cercana
V44_1,V43_0,0.054,1.0,0.054,conexion-vial-cercana
V44_2,V41_0,0.018,1.0,0.018,conexion-vial-cercana
V44_2,V42_2,0.018,1.0,0.018,conexion-vial-cercana
V44_2,V42_1,0.039,1.0,0.039,conexion-vial-cercana
V44_2,V43_1,0.051,1.0,0.051,conexion-vial-cercana
V44_2,V44_1,0.055,1.0,0.055,conexion-vial-cercana
V44_2,V43_0,0.056,1.0,0.056,conexion-vial-cercana
V44_2,V26_2,0.062,1.0,0.062,conexion-vial-cercana
V44_2,V42_0,0.062,1.0,0.062,conexion-vial-cercana
V45_0,V32_2,0.048,1.0,0.048,conexion-vial-cercana
V45_0,V45_1,0.051,1.0,0.051,conexion-vial-cercana
V45_0,V45_2,0.088,1.0,0.088,conexion-vial-cercana
V45_0,V32_1,0.099,1.0,0.099,conexion-vial-cercana
V45_0,V32_0,0.156,1.0,0.156,conexion-vial-cercana
V45_0,V34_2,0.237,1.0,0.237,conexion-vial-cercana
V45_0,V34_1,0.314,1.0,0.314,conexion-vial-cercana
V45_0,V39_1,0.337,1.0,0.337,conexion-vial-cercana
V45_1,V45_0,0.051,1.0,0.051,conexion-vial-cercana
V45_1,V45_2,0.056,1.0,0.056,conexion-vial-cercana
V45_1,V32_2,0.084,1.0,0.084,conexion-vial-cercana
V45_1,V32_1,0.135,1.0,0.135,conexion-vial-cercana
V45_1,V32_0,0.186,1.0,0.186,conexion-vial-cercana
