origen,destino,distancia_km,factor_trafico,peso,tipo_ruta
way/27804337,V16_1,0.892,1.0,0.892,hospital-vial
way/27804337,V17_0,0.897,1.0,0.897,hospital-vial
node/319436637,V53_0,0.325,1.0,0.325,hospital-vial
node/319436637,V53_1,0.331,1.0,0.331,hospital-vial
node/319436637,V52_2,0.336,1.0,0.336,hospital-vial
node/739035810,V3_2,0.341,1.0,0.341,hospital-vial
node/739035810,V55_1,0.399,1.0,0.399,hospital-vial
node/739035810,V52_2,0.467,1.0,0.467,hospital-vial
way/883666969,V7_1,0.352,1.0,0.352,hospital-vial
way/883666969,V7_2,0.409,1.0,0.409,hospital-vial
way/883666969,V11_0,0.496,1.0,0.496,hospital-vial
way/986068924,V45_1,1.235,1.0,1.235,hospital-vial
way/986068924,V45_2,1.237,1.0,1.237,hospital-vial
way/986068924,V45_0,1.283,1.0,1.283,hospital-vial
way/1364990384,V4_0,0.267,1.0,0.267,hospital-vial
way/1364990384,V25_0,0.28,1.0,0.28,hospital-vial
way/1364990384,V25_1,0.321,1.0,0.321,hospital-vial
way/1365216619,V4_2,0.147,1.0,0.147,hospital-vial
way/1365216619,V4_1,0.223,1.0,0.223,hospital-vial
way/1365216619,V25_2,0.234,1.0,0.234,hospital-vial
way/1365266055,V4_2,0.132,1.0,0.132,hospital-vial
way/1365266055,V4_1,0.175,1.0,0.175,hospital-vial
way/1365266055,V25_2,0.187,1.0,0.187,hospital-vial
node/2324519237,V69_2,2.367,1.0,2.367,hospital-vial
node/2324519237,V66_2,2.544,1.0,2.544,hospital-vial
node/2324519237,V69_1,2.544,1.0,2.544,hospital-vial
node/3977351148,V27_0,4.109,1.0,4.109,hospital-vial
node/3977351148,V27_1,4.109,1.0,4.109,hospital-vial
node/3977351148,V38_0,4.118,1.0,4.118,hospital-vial
node/4403446355,V53_0,0.333,1.0,0.333,hospital-vial
node/4403446355,V52_2,0.336,1.0,0.336,hospital-vial
node/4403446355,V55_0,0.348,1.0,0.348,hospital-vial
node/9768668045,V69_2,2.344,1.0,2.344,hospital-vial
node/9768668045,V66_2,2.522,1.0,2.522,hospital-vial
node/9768668045,V69_1,2.522,1.0,2.522,hospital-vial
V0_0,V50_0,0.215,1.0,0.215,conexion-vial-cercana
V0_0,V50_1,0.215,1.0,0.215,conexion-vial-cercana
V0_0,V58_2,0.227,1.0,0.227,conexion-vial-cercana
V0_0,V50_2,0.231,1.0,0.231,conexion-vial-cercana
V0_0,V58_0,0.241,1.0,0.241,conexion-vial-cercana
V0_0,V58_1,0.241,1.0,0.241,conexion-vial-cercana
V0_0,V0_1,0.376,1.0,0.376,conexion-vial-cercana
V0_0,V74_1,0.455,1.0,0.455,conexion-vial-cercana
V0_1,V0_2,0.204,1.0,0.204,conexion-vial-cercana
V0_1,V0_0,0.376,1.0,0.376,conexion-vial-cercana
V0_1,V50_0,0.585,1.0,0.585,conexion-vial-cercana
V0_1,V50_1,0.585,1.0,0.585,conexion-vial-cercana
V0_1,V58_2,0.597,1.0,0.597,conexion-vial-cercana
V0_1,V50_2,0.606,1.0,0.606,conexion-vial-cercana
V0_1,V58_0,0.617,1.0,0.617,conexion-vial-cercana
V0_1,V58_1,0.617,1.0,0.617,conexion-vial-cercana
V0_2,V0_1,0.204,1.0,0.204,conexion-vial-cercana
V0_2,V0_0,0.571,1.0,0.571,conexion-vial-cercana
V0_2,V50_0,0.784,1.0,0.784,conexion-vial-cercana
V0_2,V50_1,0.784,1.0,0.784,conexion-vial-cercana
V0_2,V58_2,0.796,1.0,0.796,conexion-vial-cercana
V0_2,V50_2,0.796,1.0,0.796,conexion-vial-cercana
V0_2,V6_2,0.801,1.0,0.801,conexion-vial-cercana
V0_2,V58_0,0.807,1.0,0.807,conexion-vial-cercana
V1_0,V1_1,0.332,1.0,0.332,conexion-vial-cercana
V1_0,V1_2,0.396,1.0,0.396,conexion-vial-cercana
V1_0,V6_0,0.489,1.0,0.489,conexion-vial-cercana
V1_0,V6_1,0.6,1.0,0.6,conexion-vial-cercana
V1_0,V6_2,0.721,1.0,0.721,conexion-vial-cercana
V1_0,V0_1,1.51,1.0,1.51,conexion-vial-cercana
V1_0,V0_2,1.51,1.0,1.51,conexion-vial-cercana
V1_0,V67_0,1.526,1.0,1.526,conexion-vial-cercana
V1_1,V1_2,0.064,1.0,0.064,conexion-vial-cercana
V1_1,V1_0,0.332,1.0,0.332,conexion-vial-cercana
V1_1,V6_0,0.725,1.0,0.725,conexion-vial-cercana
V1_1,V6_1,0.805,1.0,0.805,conexion-vial-cercana
V1_1,V6_2,0.9,1.0,0.9,conexion-vial-cercana
V1_1,V0_2,1.626,1.0,1.626,conexion-vial-cercana
V1_1,V0_1,1.664,1.0,1.664,conexion-vial-cercana
V1_1,V4_1,1.694,1.0,1.694,conexion-vial-cercana
V1_2,V1_1,0.064,1.0,0.064,conexion-vial-cercana
V1_2,V1_0,0.396,1.0,0.396,conexion-vial-cercana
V1_2,V6_0,0.778,1.0,0.778,conexion-vial-cercana
V1_2,V6_1,0.854,1.0,0.854,conexion-vial-cercana
V1_2,V6_2,0.944,1.0,0.944,conexion-vial-cercana
V1_2,V0_2,1.654,1.0,1.654,conexion-vial-cercana
V1_2,V4_2,1.676,1.0,1.676,conexion-vial-cercana
V1_2,V4_1,1.68,1.0,1.68,conexion-vial-cercana
V2_0,V2_1,0.109,1.0,0.109,conexion-vial-cercana
V2_0,V2_2,0.269,1.0,0.269,conexion-vial-cercana
V2_0,V52_0,0.296,1.0,0.296,conexion-vial-cercana
V2_0,V54_2,0.296,1.0,0.296,conexion-vial-cercana
V2_0,V54_0,0.363,1.0,0.363,conexion-vial-cercana
V2_0,V54_1,0.363,1.0,0.363,conexion-vial-cercana
V2_0,V55_2,0.371,1.0,0.371,conexion-vial-cercana
V2_0,V78_0,0.507,1.0,0.507,conexion-vial-cercana
